Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
606012,RO345879,Professional Services,354230 CAD,2018-08-04
751282,DE325476,Beverages and Catering,207234 EUR,2018-08-13
498484,DE767565,Concierge Services,226814 CAD,2018-08-20
507242,FR065748,Various paper supplies,91371.6 EUR,2018-08-12
836092,RO125678,Concierge Services,155230 CAD,2018-08-02
933144,IT754893,Professional Services,205238 RON,2018-08-04
813667,DE767565,Professional Services,161695 RON,2018-08-27
708317,FR065748,Professional Services,138349 USD,2018-08-12
261745,DE325476,Professional Services,34849.2 RON,0000-00-00
377984,RO345879,Waste management services,217308 USD,2018-08-04
396502,RO125678,Concierge Services,215989 USD,2018-08-02
672439,DE767565,Beverages and Catering,334926 CAD,2018-08-05
960098,DE767565,Beverages and Catering,65458.8 USD,2018-09-02
747032,FR065748,Concierge Services,207358 EUR,2018-09-04
625084,DE325476,Various paper supplies,339370 EUR,2018-09-28
653958,RU567434,Beverages and Catering,244762 EUR,2018-09-22
584358,DE325476,Concierge Services,327716 RON,2018-09-23
781773,RU567434,Concierge Services,118674 USD,2018-09-15
606168,IT213456,IT Support,284185 EUR,2018-09-17
625443,RO125678,Professional Services,69640.8 USD,2018-09-08
696402,RO125678,Beverages and Catering,156562 USD,2018-09-28
656429,IT754893,Beverages and Catering,85539.6 RON,2018-10-20
462684,DE767565,Waste management services,46431.6 RON,2018-10-05
113120,DE456232,Various paper supplies,493.2 USD,2018-10-17
331942,FR329083,IT Support,272380 EUR,2018-10-26
583717,RU567434,Waste management services,46656 EUR,2018-10-10
644268,RO254678,Professional Services,21676.8 CAD,0000-00-00
400931,RO125678,Beverages and Catering,7520.4 CAD,2018-10-13
523608,DE767565,Waste management services,187835 USD,2018-10-13
133330,IT213456,Professional Services,174859 USD,2018-10-23
379669,RO094782,Concierge Services,40729.2 EUR,2018-10-13
751451,DE767565,Various paper supplies,56498.4 RON,2018-10-03
416528,IT754893,Concierge Services,40617.6 EUR,2018-10-17
680067,RO094782,IT Support,239327 USD,2018-10-09
414307,IT213456,Beverages and Catering,343465 USD,2018-10-12
116470,DE767565,Waste management services,160788 CAD,0000-00-00
207952,DE325476,IT Support,121478 USD,2018-10-24
680441,RO254678,Various paper supplies,2204.4 CAD,2018-10-10
210709,RO345879,Waste management services,185284 RON,2018-10-19
109467,DE456232,Professional Services,294198 EUR,2018-11-05
756729,IT754893,Waste management services,115534 EUR,2018-11-10
469391,DE456232,Concierge Services,244798 CAD,2018-11-11
930760,DE325476,Various paper supplies,332945 RON,2018-11-08
238187,DE325476,Professional Services,100102 USD,2018-11-09
121042,RU567434,Professional Services,114079 EUR,2018-11-07
639089,DE325476,Professional Services,75542.4 RON,2018-11-17
136462,FR065748,Concierge Services,215365 RON,2018-11-08
511772,RU567434,IT Support,100445 EUR,2018-11-20
663856,RO125678,Concierge Services,242826 USD,2018-11-10
530707,RO254678,Professional Services,321286 RON,2018-11-05
803313,DE767565,Various paper supplies,296404 EUR,2018-11-28
268427,RO345879,Beverages and Catering,210427 RON,2018-11-03
236650,RO254678,Beverages and Catering,149908 EUR,2018-12-04
996629,FR065748,Concierge Services,137724 RON,2018-12-25
851374,RO125678,Professional Services,73128 EUR,2018-12-10
124631,FR065748,Beverages and Catering,128897 RON,2018-12-02
913805,RO125678,Beverages and Catering,343871 RON,2018-12-19
743559,IT213456,Various paper supplies,298950 USD,2018-12-07
618332,FR329083,Beverages and Catering,90092.4 CAD,2018-12-04
353741,RO345879,Various paper supplies,284178 RON,2018-12-17
461761,DE767565,IT Support,99655.2 RON,2018-12-11
849985,RO345879,Concierge Services,232976 EUR,2018-12-20
675561,DE456232,Concierge Services,323842 EUR,2018-12-04
177043,RO254678,Beverages and Catering,135799 USD,2018-12-01
367264,DE456232,Concierge Services,206573 CAD,2018-12-26
744694,DE767565,Beverages and Catering,323420 USD,2018-12-07
